account_number,service_line_id,nickname,service_line_number,active
ACC-4206898-18720-20,,Akagera STD,SL-3263656-24358-78,true
ACC-4206898-18720-20,,Akagera HP,SL-3263650-27699-83,true
ACC-4206898-18720-20,,BK HQ,SL-2568419-22145-74,true
ACC-4206898-18720-20,,BK HP II,SL-3603429-94334-75,true
ACC-4206898-18720-20,,WiredIn,SL-3447115-51505-66,true
ACC-4206898-18720-20,,Mille Collines,SL-3497035-17881-81,true
ACC-4206898-18720-20,,Starbucks,SL-2757747-48690-91,true
ACC-4206898-18720-20,,Question Coffee,SL-2853921-21722-69,true
ACC-4206898-18720-20,,Hotel Talent Pool,SL-2427178-62730-74,true
ACC-4206898-18720-20,,Old Mutual,SL-3373720-54096-74,true
ACC-4206898-18720-20,,Kiss FM,SL-3819873-81489-94,true
ACC-4206898-18720-20,,AVIPRO,SL-3928145-80216-74,true
ACC-4206898-18720-20,,Prime Insurance,SL-3625381-72640-72,true
ACC-4206898-18720-20,,Kivu Noir Cafe,SL-3733887-57165-88,true
ACC-4206898-18720-20,,Caferwa - Kivu Noir KSEZ,SL-4767155-10182-72,true
ACC-4206898-18720-20,,Virunga Lodge HP POC,SL-2993961-21606-79,true
ACC-4206898-18720-20,,Jibu,SL-3546344-58560-78,true
ACC-4206898-18720-20,,Alliance for Healthy Communities,SL-3860806-77783-88,true
ACC-4206898-18720-20,,AmaliTech,SL-4457923-71139-80,true
ACC-4206898-18720-20,,Tropical Plaza,SL-4639906-21306-74,true
ACC-4206898-18720-20,,Hill View Hotel,SL-4901138-12683-71,true
ACC-4206898-18720-20,,Ngali Energy (Rukarara),SL-5706926-53678-89,true
ACC-4206898-18720-20,,Ngali Energy (Ntaruka),SL-5720584-50148-74,true
ACC-4206898-18720-20,,Ngali Energy (SS),SL-5884199-24948-96,true
ACC-4206898-18720-20,,BRD 1,SL-5871071-21668-77,true
ACC-4206898-18720-20,,BRD 2,SL-5871098-22085-80,true
ACC-4206898-18720-20,,Soap Factory,SL-DF-6639530-60501-52,true
ACC-4206898-18720-20,,Refinery,SL-DF-6639502-71474-62,true
ACC-4206898-18720-20,,Gasmeth CNG 1,SL-5974962-13027-80,true
ACC-4206898-18720-20,,Gasmeth CNG 2,SL-5974976-50230-82,true
ACC-4206898-18720-20,,Planitswiss,SL-5811208-71852-73,true
ACC-4206898-18720-20,,Heaven,SL-DF-6856833-93063-68,true
ACC-4206898-18720-20,,ARC Power,SL-5739106-67345-81,true
ACC-4206898-18720-20,,Ecobank HQ,SL-DF-6852838-31782-69,true
ACC-4206898-18720-20,,Ecobank Branch,SL-DF-6852829-76821-72,true
ACC-4206898-18720-20,,Technoserve,SL-6219674-15952-82,true
ACC-4206898-18720-20,,Galaxy,SL-3914379-32837-84,true
